Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1319,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,442 ppm,,,,12/02/2025 07:43:05 a. m.
1320,,26.9 °C,17.6 °C,13.0 °C,42.3 %,0 ppm,426 ppm,,,,12/02/2025 07:44:05 a. m.
1321,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,434 ppm,,,,12/02/2025 07:45:05 a. m.
1322,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,428 ppm,,,,12/02/2025 07:46:05 a. m.
1323,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,433 ppm,,,,12/02/2025 07:47:05 a. m.
1324,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,427 ppm,,,,12/02/2025 07:48:05 a. m.
1325,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,428 ppm,,,,12/02/2025 07:49:05 a. m.
1326,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,439 ppm,,,,12/02/2025 07:50:05 a. m.
1327,,26.8 °C,17.5 °C,12.9 °C,42.5 %,1 ppm,423 ppm,,,,12/02/2025 07:51:05 a. m.
1328,,26.8 °C,17.5 °C,12.9 °C,42.5 %,1 ppm,430 ppm,,,,12/02/2025 07:52:05 a. m.
1329,,26.8 °C,17.5 °C,12.9 °C,42.5 %,1 ppm,432 ppm,,,,12/02/2025 07:53:05 a. m.
1330,,26.8 °C,17.5 °C,13.0 °C,42.5 %,1 ppm,431 ppm,,,,12/02/2025 07:54:05 a. m.
1331,,26.8 °C,17.5 °C,13.0 °C,42.5 %,1 ppm,428 ppm,,,,12/02/2025 07:55:05 a. m.
1332,,26.8 °C,17.5 °C,12.9 °C,42.5 %,1 ppm,422 ppm,,,,12/02/2025 07:56:05 a. m.
1333,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,430 ppm,,,,12/02/2025 07:57:05 a. m.
1334,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,424 ppm,,,,12/02/2025 07:58:05 a. m.
1335,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,424 ppm,,,,12/02/2025 07:59:05 a. m.
1336,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,431 ppm,,,,12/02/2025 08:00:05 a. m.
1337,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,420 ppm,,,,12/02/2025 08:01:05 a. m.
1338,,26.8 °C,17.5 °C,13.0 °C,42.5 %,0 ppm,435 ppm,,,,12/02/2025 08:02:05 a. m.
1339,,26.8 °C,17.5 °C,12.9 °C,42.5 %,1 ppm,429 ppm,,,,12/02/2025 08:03:05 a. m.
1340,,26.8 °C,17.5 °C,13.0 °C,42.5 %,0 ppm,441 ppm,,,,12/02/2025 08:04:05 a. m.
1341,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,429 ppm,,,,12/02/2025 08:05:05 a. m.
1342,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,428 ppm,,,,12/02/2025 08:06:05 a. m.
1343,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,429 ppm,,,,12/02/2025 08:07:05 a. m.
1344,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,421 ppm,,,,12/02/2025 08:08:05 a. m.
1345,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,422 ppm,,,,12/02/2025 08:09:05 a. m.
1346,,26.8 °C,17.5 °C,13.0 °C,42.5 %,1 ppm,430 ppm,,,,12/02/2025 08:10:05 a. m.
1347,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,429 ppm,,,,12/02/2025 08:11:05 a. m.
1348,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,428 ppm,,,,12/02/2025 08:12:05 a. m.
1349,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,432 ppm,,,,12/02/2025 08:13:05 a. m.
1350,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 08:14:05 a. m.
1351,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 08:15:05 a. m.
1352,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,428 ppm,,,,12/02/2025 08:16:05 a. m.
1353,,26.8 °C,17.5 °C,13.0 °C,42.7 %,1 ppm,436 ppm,,,,12/02/2025 08:17:05 a. m.
1354,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,433 ppm,,,,12/02/2025 08:18:05 a. m.
1355,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,428 ppm,,,,12/02/2025 08:19:05 a. m.
1356,,26.8 °C,17.5 °C,13.0 °C,42.7 %,0 ppm,443 ppm,,,,12/02/2025 08:20:05 a. m.
1357,,26.8 °C,17.5 °C,13.0 °C,42.6 %,0 ppm,421 ppm,,,,12/02/2025 08:21:05 a. m.
1358,,26.9 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,418 ppm,,,,12/02/2025 08:22:05 a. m.
1359,,26.8 °C,17.5 °C,13.0 °C,42.6 %,1 ppm,436 ppm,,,,12/02/2025 08:23:05 a. m.
1360,,26.9 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,433 ppm,,,,12/02/2025 08:24:05 a. m.
1361,,26.9 °C,17.6 °C,13.0 °C,42.6 %,1 ppm,437 ppm,,,,12/02/2025 08:25:05 a. m.
1362,,26.9 °C,17.6 °C,13.0 °C,42.5 %,1 ppm,427 ppm,,,,12/02/2025 08:26:05 a. m.
1363,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,431 ppm,,,,12/02/2025 08:27:05 a. m.
1364,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,434 ppm,,,,12/02/2025 08:28:05 a. m.
1365,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,433 ppm,,,,12/02/2025 08:29:05 a. m.
1366,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,437 ppm,,,,12/02/2025 08:30:05 a. m.
1367,,27.0 °C,17.7 °C,13.1 °C,42.4 %,0 ppm,444 ppm,,,,12/02/2025 08:31:05 a. m.
1368,,27.0 °C,17.7 °C,13.1 °C,42.3 %,1 ppm,431 ppm,,,,12/02/2025 08:32:05 a. m.
1369,,27.0 °C,17.7 °C,13.1 °C,42.3 %,1 ppm,423 ppm,,,,12/02/2025 08:33:05 a. m.
1370,,27.0 °C,17.6 °C,13.0 °C,42.3 %,1 ppm,442 ppm,,,,12/02/2025 08:34:05 a. m.
1371,,27.0 °C,17.6 °C,13.0 °C,42.2 %,0 ppm,426 ppm,,,,12/02/2025 08:35:05 a. m.
1372,,27.1 °C,17.6 °C,13.0 °C,42.2 %,1 ppm,433 ppm,,,,12/02/2025 08:36:05 a. m.
1373,,27.0 °C,17.6 °C,13.0 °C,42.2 %,1 ppm,429 ppm,,,,12/02/2025 08:37:05 a. m.
1374,,27.0 °C,17.7 °C,13.1 °C,42.2 %,1 ppm,428 ppm,,,,12/02/2025 08:38:05 a. m.
1375,,27.1 °C,17.7 °C,13.1 °C,42.2 %,1 ppm,430 ppm,,,,12/02/2025 08:39:05 a. m.
1376,,27.1 °C,17.7 °C,13.1 °C,42.1 %,1 ppm,428 ppm,,,,12/02/2025 08:40:05 a. m.
1377,,27.1 °C,17.7 °C,13.1 °C,42.1 %,1 ppm,440 ppm,,,,12/02/2025 08:41:05 a. m.
1378,,27.2 °C,17.7 °C,13.1 °C,42.0 %,1 ppm,429 ppm,,,,12/02/2025 08:42:05 a. m.
1379,,27.2 °C,17.7 °C,13.1 °C,42.1 %,1 ppm,438 ppm,,,,12/02/2025 08:43:05 a. m.
1380,,27.2 °C,17.7 °C,13.1 °C,42.1 %,0 ppm,437 ppm,,,,12/02/2025 08:44:05 a. m.
1381,,27.2 °C,17.7 °C,13.1 °C,42.0 %,1 ppm,420 ppm,,,,12/02/2025 08:45:05 a. m.
1382,,27.2 °C,17.7 °C,13.1 °C,42.0 %,1 ppm,436 ppm,,,,12/02/2025 08:46:05 a. m.
1383,,27.3 °C,17.8 °C,13.2 °C,41.9 %,1 ppm,431 ppm,,,,12/02/2025 08:47:05 a. m.
1384,,27.3 °C,17.8 °C,13.2 °C,41.9 %,1 ppm,433 ppm,,,,12/02/2025 08:48:05 a. m.
1385,,27.3 °C,17.8 °C,13.2 °C,41.9 %,1 ppm,433 ppm,,,,12/02/2025 08:49:05 a. m.
1386,,27.3 °C,17.7 °C,13.1 °C,41.8 %,0 ppm,437 ppm,,,,12/02/2025 08:50:05 a. m.
1387,,27.3 °C,17.8 °C,13.2 °C,41.9 %,1 ppm,429 ppm,,,,12/02/2025 08:51:05 a. m.
1388,,27.3 °C,17.7 °C,13.1 °C,41.8 %,1 ppm,426 ppm,,,,12/02/2025 08:52:05 a. m.
1389,,27.4 °C,17.7 °C,13.1 °C,41.8 %,1 ppm,435 ppm,,,,12/02/2025 08:53:05 a. m.
1390,,27.4 °C,17.8 °C,13.2 °C,41.7 %,1 ppm,444 ppm,,,,12/02/2025 08:54:05 a. m.
1391,,27.4 °C,17.8 °C,13.2 °C,41.7 %,1 ppm,425 ppm,,,,12/02/2025 08:55:05 a. m.
1392,,27.4 °C,17.8 °C,13.2 °C,41.7 %,1 ppm,433 ppm,,,,12/02/2025 08:56:05 a. m.
1393,,27.4 °C,17.8 °C,13.2 °C,41.7 %,1 ppm,419 ppm,,,,12/02/2025 08:57:05 a. m.
1394,,27.5 °C,17.9 °C,13.2 °C,41.6 %,1 ppm,428 ppm,,,,12/02/2025 08:58:05 a. m.
1395,,27.5 °C,17.9 °C,13.2 °C,41.5 %,1 ppm,430 ppm,,,,12/02/2025 08:59:05 a. m.
1396,,27.5 °C,17.9 °C,13.2 °C,41.5 %,0 ppm,430 ppm,,,,12/02/2025 09:00:05 a. m.
1397,,27.5 °C,17.9 °C,13.2 °C,41.5 %,1 ppm,425 ppm,,,,12/02/2025 09:01:05 a. m.
1398,,27.5 °C,17.9 °C,13.2 °C,41.5 %,1 ppm,429 ppm,,,,12/02/2025 09:02:05 a. m.
1399,,27.5 °C,17.9 °C,13.2 °C,41.5 %,1 ppm,420 ppm,,,,12/02/2025 09:03:05 a. m.
1400,,27.5 °C,17.9 °C,13.3 °C,41.5 %,1 ppm,442 ppm,,,,12/02/2025 09:04:05 a. m.
1401,,27.6 °C,17.9 °C,13.3 °C,41.5 %,1 ppm,438 ppm,,,,12/02/2025 09:05:05 a. m.
1402,,27.5 °C,18.0 °C,13.4 °C,42.1 %,1 ppm,438 ppm,,,,12/02/2025 09:06:05 a. m.
1403,,27.5 °C,18.3 °C,14.1 °C,44.0 %,1 ppm,437 ppm,,,,12/02/2025 09:07:05 a. m.
1404,,27.3 °C,18.9 °C,15.2 °C,47.7 %,1 ppm,450 ppm,,,,12/02/2025 09:08:05 a. m.
1405,,27.2 °C,18.5 °C,14.6 °C,46.3 %,1 ppm,433 ppm,,,,12/02/2025 09:09:05 a. m.
1406,,27.3 °C,18.4 °C,14.3 °C,44.9 %,1 ppm,425 ppm,,,,12/02/2025 09:10:05 a. m.
1407,,27.1 °C,18.2 °C,14.0 °C,44.8 %,0 ppm,443 ppm,,,,12/02/2025 09:11:05 a. m.
1408,,27.2 °C,18.4 °C,14.3 °C,45.4 %,1 ppm,441 ppm,,,,12/02/2025 09:12:05 a. m.
1409,,27.1 °C,18.4 °C,14.4 °C,46.0 %,1 ppm,448 ppm,,,,12/02/2025 09:13:05 a. m.
1410,,27.1 °C,18.3 °C,14.3 °C,45.5 %,1 ppm,455 ppm,,,,12/02/2025 09:14:05 a. m.
1411,,27.1 °C,18.6 °C,14.7 °C,46.9 %,1 ppm,437 ppm,,,,12/02/2025 09:15:05 a. m.
1412,,27.1 °C,18.6 °C,14.8 °C,47.3 %,1 ppm,440 ppm,,,,12/02/2025 09:16:05 a. m.
1413,,26.8 °C,18.4 °C,14.6 °C,47.3 %,1 ppm,440 ppm,,,,12/02/2025 09:17:05 a. m.
1414,,26.8 °C,18.3 °C,14.4 °C,46.6 %,1 ppm,437 ppm,,,,12/02/2025 09:18:05 a. m.
1415,,26.6 °C,18.3 °C,14.4 °C,47.3 %,1 ppm,436 ppm,,,,12/02/2025 09:19:05 a. m.
1416,,26.7 °C,18.3 °C,14.4 °C,46.9 %,1 ppm,424 ppm,,,,12/02/2025 09:20:05 a. m.
1417,,26.8 °C,18.3 °C,14.3 °C,46.5 %,1 ppm,425 ppm,,,,12/02/2025 09:21:05 a. m.
1418,,26.9 °C,18.3 °C,14.4 °C,46.4 %,0 ppm,426 ppm,,,,12/02/2025 09:22:05 a. m.
1419,,27.0 °C,18.4 °C,14.5 °C,46.4 %,1 ppm,438 ppm,,,,12/02/2025 09:23:05 a. m.
1420,,27.0 °C,18.5 °C,14.7 °C,47.3 %,1 ppm,442 ppm,,,,12/02/2025 09:24:05 a. m.
1421,,27.0 °C,18.5 °C,14.7 °C,47.3 %,1 ppm,441 ppm,,,,12/02/2025 09:25:05 a. m.
1422,,26.9 °C,18.5 °C,14.7 °C,47.3 %,1 ppm,442 ppm,,,,12/02/2025 09:26:05 a. m.
1423,,26.7 °C,18.3 °C,14.5 °C,47.3 %,1 ppm,437 ppm,,,,12/02/2025 09:27:05 a. m.
1424,,26.6 °C,18.3 °C,14.5 °C,47.5 %,1 ppm,435 ppm,,,,12/02/2025 09:28:05 a. m.
1425,,26.8 °C,18.4 °C,14.5 °C,46.9 %,1 ppm,435 ppm,,,,12/02/2025 09:29:05 a. m.
1426,,26.8 °C,18.4 °C,14.5 °C,47.1 %,0 ppm,430 ppm,,,,12/02/2025 09:30:05 a. m.
1427,,26.8 °C,18.4 °C,14.6 °C,47.1 %,1 ppm,423 ppm,,,,12/02/2025 09:31:05 a. m.
1428,,26.8 °C,18.4 °C,14.5 °C,47.2 %,0 ppm,423 ppm,,,,12/02/2025 09:32:05 a. m.
1429,,26.9 °C,18.6 °C,14.9 °C,48.2 %,1 ppm,418 ppm,,,,12/02/2025 09:33:05 a. m.
1430,,26.9 °C,18.8 °C,15.2 °C,48.8 %,1 ppm,432 ppm,,,,12/02/2025 09:34:05 a. m.
1431,,26.8 °C,19.1 °C,15.7 °C,51.1 %,1 ppm,434 ppm,,,,12/02/2025 09:35:05 a. m.
1432,,26.7 °C,19.3 °C,16.1 °C,52.4 %,1 ppm,439 ppm,,,,12/02/2025 09:36:05 a. m.
1433,,26.7 °C,19.6 °C,16.6 °C,54.3 %,0 ppm,423 ppm,,,,12/02/2025 09:37:05 a. m.
1434,,26.7 °C,19.5 °C,16.5 °C,53.7 %,1 ppm,434 ppm,,,,12/02/2025 09:38:05 a. m.
1435,,26.9 °C,19.7 °C,16.7 °C,53.9 %,1 ppm,437 ppm,,,,12/02/2025 09:39:05 a. m.
1436,,26.9 °C,19.7 °C,16.8 °C,54.1 %,1 ppm,439 ppm,,,,12/02/2025 09:40:05 a. m.
1437,,27.0 °C,19.4 °C,16.2 °C,51.8 %,0 ppm,444 ppm,,,,12/02/2025 09:41:05 a. m.
1438,,27.1 °C,19.7 °C,16.7 °C,53.4 %,1 ppm,434 ppm,,,,12/02/2025 09:42:05 a. m.
1439,,27.1 °C,19.6 °C,16.4 °C,52.2 %,0 ppm,433 ppm,,,,12/02/2025 09:43:05 a. m.
1440,,27.0 °C,19.7 °C,16.6 °C,53.2 %,1 ppm,443 ppm,,,,12/02/2025 09:44:05 a. m.
1441,,27.2 °C,19.7 °C,16.6 °C,52.6 %,0 ppm,455 ppm,,,,12/02/2025 09:45:05 a. m.
